Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Malaysia,MYS,2.51463366,2.6753974,2.66876554,2.92417073,2.86016941,2.78692698,3.10897732,3.07041144,3.00692558,3.2610569,3.16474271,3.31451917,3.45786357,3.51276922,3.71036959,3.82201481,3.70085335,3.71472311,3.75944281,3.83991051,4.08254337,4.37438345,3.90037823,3.95760036,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Singapore,SGP,3.343364,3.16302657,3.358464,3.60699272,3.15019798,3.03367925,2.9347465,2.83749056,3.19488454,3.39370513,3.1982615,3.1539185,3.32392788,3.68225336,3.87132597,4.18061399,4.37989521,4.35978413,4.07275724,4.40746737,5.70015287,5.14599705,4.33121586,4.49163246,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,1.85297656,2.11850214,1.98062706,2.24837184,2.12002277,2.53189397,2.61946416,2.82385564,2.54842305,2.62324095,2.7908783,2.98942471,2.91427088,2.86934805,2.96433568,2.92428517,3.02147198,2.90417194,2.86757827,2.87862897,3.42067289,3.70634937,2.69389749,2.70239949,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Viet Nam,VNM,4.10752726,4.80107498,3.87075853,3.94229889,4.08791971,4.31821251,4.56979847,4.62917614,4.36028337,4.48502922,5.07146072,4.97468519,5.00178242,4.41233158,4.69078779,4.71140909,4.86994743,4.99014759,5.02678823,4.97407484,4.33219814,4.53792429,4.53809595,4.56109476,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Thailand,THA,3.10125351,3.02623773,3.334723,3.24312782,3.13893151,3.15972233,3.09970832,3.19277525,3.45933938,3.61939645,3.39009809,3.56825495,3.5229404,3.45313334,3.68448091,3.8522861,3.93900609,3.85276842,3.87040329,3.78911877,4.35724688,5.15399981,5.35471153,4.53787661,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,7.03456163,7.23947906,7.35235405,7.48654842,7.53518438,7.65818596,7.68688869,7.77935696,8.08909321,8.9587822,9.0630064,10.48780155,10.67169094,10.67438698,10.7290144,10.74969959,10.65891552,10.65627098,10.73988247,10.96998405,11.44974613,12.08108234,12.32275677,10.73979473,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,12.49002075,13.16817093,13.99535275,14.50557518,14.55123138,14.57946205,14.70878792,14.91832542,15.20723629,16.20067596,16.19722366,16.14000511,16.11975479,15.95227051,16.1415844,16.40155411,16.69203949,16.63827515,16.51312637,16.54486084,18.51597404,17.35207748,16.52875137,16.69414902,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,East Asia & Pacific,EAS,6.07711181892845,6.10488422275948,6.07026470371472,6.19011246582716,6.16362314185272,6.1145283420238,5.91915781405042,5.69835175167103,5.84782680247894,6.34475433749058,6.22069505477777,6.6442388425558,6.69824669967559,6.45394164783735,6.44027897769958,6.42297737087305,6.4924665198735,6.45209555660183,6.46332885332331,6.63218318246243,6.9452785628105,6.81190699632959,6.99693851217457,6.79850336186314,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Malaysia,MYS,52.18056238,58.04792697,62.28307824,73.86633164,78.37275052,79.30427229,108.03999038,122.00604356,140.06843686,136.46582169,151.55233444,182.87534783,200.49544164,205.75346753,226.84452415,196.20302211,178.98322754,189.57659607,210.07481629,219.4521194,216.67458374,268.10560464,231.81124004,225.29869968,..
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,Singapore,SGP,289.22114726,192.41054366,234.78631802,315.54661174,281.92751725,299.63879927,335.72350368,374.09262158,480.09934182,463.20852853,542.76913954,631.86286927,729.11246043,877.7777331,1005.90041209,1097.11039266,1189.25865837,1293.15328429,1366.2755402,1515.88985009,2121.90417191,2465.05727684,2345.77979088,2292.59106053,..
